id,name
UCUbCBA3uLH49uOeKBA9zQ3A,INFORMATION WARFARE 
UC7rlvlj-jumO7LrXpP-8NZQ,Carl Vernon
UCMAtX9eFBpwc4LtgvbqsOpQ,CrowderBits 
UChS7p2emhoFlyDSthDk7PWA,TateChasers
UCZz8q2tZC7QuQiFwPKQ4Bug,TFIglobal
UCAmLN5U6ndPgEcc4XpMBdxg,David Mongielo
UCnCJI5CILRrdK24R48H2r6w,Petrified News
UCEMLBAiyLY4tCUxQ9OJaBlA,Victory Entertainment
UCLWT1NTlgP7CCs4ZNNpe5AQ,WE GOT A PROBLEM
UCUyIdrYUJt036l00tkHfx0w,Lightbeamer 2
UCYpe0dPGgAW70SWBECOeM4A,Mr.Sauceman X
UCzAKaxOOeD8MnZ4_LitjWpA,Veritas TV
UCgFP46yVT-GG4o1TgXn-04Q,China Uncensored
UCT5KWZpslhrYKBhdCUUzr1Q,The Pholosopher
UCAyKDaEmdk3MAv14P3X_-tw,Unidentified-Whistleblower
UCCsiAKRKcgzA_372WbXNBaw,Dr. Steve Turley
UCUZAUoL2_bd9cR8R5T_iSlQ,John Talks
UC7n8r27jRnjpYpfyEfBOLFw,Body Language Ghost
UCXA6RQ5Je4HiagqAPpuX1sw,Odair Del Pozzo
UCXwAKQLIE7lTs21VJ1oSBhA,Daniel Silveira - Deputado Federal
UCKNsAq3tNpbvATnAbK3nwDA,Augusto Almeida
UCl4GlGXR0ED6AUJU1kRhRzQ,o porao da mamae
UCXqTpcsO4kgwk5K5v76Ushw,Novo Brasil NotÃ­cias
UCzjtGnD7qqeaHW3nvDVrjQA,Os Pingos nos Is
UCmnSD245HC6yT_ABIIfEcNQ,Arthur Weintraub
UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro
UCkR6xPOHhpjq3wnFchVI4sg,Eduardo Bolsonaro
UCl2HptoHv6PjZMQAwTdA--Q,Flávio Bolsonaro
UCBrntWupyTRnnsRy3dA4VdA,Carlos Bolsonaro
UCX9VzlP1DyeasSivEr9Eddw,Carla Zambelli
UCIQWl7Vsw2BkNF3IDp7W_sg,What's going on?
UCUL6210K8wHs1nenNh5gtAA,A Taste of Medicine
UCrfOP0dgfFhxAYILfsHKGiw,Pascal Juang MD
UCtx0AYvGYw4uxug_zPAfVIA,OVALmedia in English
UCFbWA0wLcQk3eoRv6nIb-1A,Dr. Hong's Pharmacy Classroom
UCiMhM7xCTT8b5SJRnhpH7Ag,Whiteboard Doctor
UCu4OHd94MHqjlMp_Mgks84w,"F. Perry Wilson, MD"
UC7oPkqeHTwuOZ5CZ-R9f-6w,Triggernometry
UC78Iz691HisenUxRwnFkk1Q,OH MY GOD
UCDdN8LSNc3onvOyCd_UR5wg,PANDA
UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen
UCsROLRYekI50Ew8GXRWYn2g,"Christy Risinger, MD"
UCs152rb_PU7LuxzwZ4SpbjA,STRANGER THAN FICTION NEWS
UCbsEOodoIrWNrBhsqXIW1Vg,Vaccine Risks
UCL8IU3JsDLxAQKsdLBahwwQ,Vaccine Wars
UCFCrfK5rP_B6huriP1hLApw,Hear This Well: Breaking the Silence on Vaccine Violence
UC9F4ptzf85Zl2mTskvJV3Aw,Vaccine Rights
UCiLrcNHBTdsLZlMOSZzwBIQ,DO NOT TAKE THE VACCINE
UC948hzpVhfoHjkjWObJHV3Q,GreenMedInfo.com
UCrtd2wePvAl6RN_D-9jWVQQ,Drbeen Medical Lectures
UC4tNlDJkV_YdwMErMRutt4A,TrialSite News
UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike 
UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen
UCP4k407eomZThGHo_9sgMkg,Dr Pal
UCU-Jctu4JTEGFtVnsuqdd5Q,Dr. Suneel Dhand
UCyD52JnQnXkLe5HGm4IArHw,Dr. Sam Bailey
UC948hzpVhfoHjkjWObJHV3Q,GreenMedInfo.com
UCV34-Z_GmMMpZwXvcoqaF-g,Dr. Ben Tapper
UCwc0nUV55sTXXwS2E8UchmA,My Incredible Opinion with Forrest Maready
UCJ2SN2gN1dmrFBEo6TWIzOw,Debunk the Funk with Dr. Wilson
UCe_NpqhP5Y2_25OoXcmNsGA,Danny Tommo
UCxgB6grGSx3bcB3vlcy7Tfg,EntertheStars
UCPRV4ofh41GyxezlTw0kkqA,CinemaLibre
UCittVh8imKanO_5KohzDbpg,Paul Joseph Watson
UCBve_ppCNE67fs3MsIocitg,Dr. Frita
UC44ygHhf5-2W-uR44BpPVdg,Unity News Network
UC5rJlf5jdr_I6qiozbQdx-g,Front Line COVID-19 Critical Care Alliance - FLCCC
UCm0yTweyAa0PwEIp0l3N_gA,talkRADIO
UCnGBNHhhgXeTjmqM_C-drsg,Subject Access
UCPQsmBrZLNgVp7g_XV73dKw,Idaho Freedom Tv
UC2TVSCwWPQQscAqFlFWRIDw,Tracey O' Mahony Barrister at Law
UCkJ1N-7g9Q6n7KnriGit-Ig,RonPaulLibertyReport
UCi5N_uAqApEUIlg32QzkPlg,Bret Weinstein
UCLvQuKL3Nn7NnT9Jyi_dlgQ,Sputnik V
UChsuq2uAwfsUK707FocaT8Q,Covexit News and Analysis
UCBYbGpgjIoXKHwr4hYUU10g,Ohio Department of Health
UCnVjidHzypKf5oTKWSA1G3g,Michael Heaver
UCNDWHbVrIRW_FQ8rkE1Z1GQ,Big Brother Watch
UCxCYYyKOs0Eoh9vLm9UEX3g,Bright Light News
UCZcW0uVZDTaEXfBS-JV-zUg,Children's Health Defense
UCzoK4wqTk85XzSTdy1XHz3g,Pandemic Podcast
UC_yhGQiJ5lTmOaoIQA91GzA,Geert Vanden Bossche
UCSxeKmlI8XLrI1eMaqqM-kg,Vejon Health
UCQwPX_sEaDhYEfbnmh6dAow,Biblical Prescriptions for Life
UCzO29pYlZACoX-9a895PPtw,Benjamin Neuman
UCJ2SN2gN1dmrFBEo6TWIzOw,Debunk the Funk with Dr. Wilson
UCKt-o4gMYO7FH2MLkynIphA,Parents For Healthcare Rights
UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell
UCJ_Uk2DDbsnjq8OLIkHrUfw,Medcram Med
UCrtd2wePvAl6RN_D-9jWVQQ,Drbeen Medical Lectures
UCxscQY7X0mtnaCbkGTjZ17g,Mercola
UC85x4iQIC8JENyLy6xRsF8Q,Erin Elizabeth at Health Nut News
UCXfDKqaPr6U1w9u9p_K-QoA,DrStella Immanuel
UCwX9Y4p6EJ-ZXutGY7x4DIQ,Vaccine Myth
UCGW2Yqy7GvjDg92HdW9urdA,LarryCook333
UCswH8ovgUp5Bdg-0_JTYFNw,Russell Brand
UCFyRz1N_T-rnSkbaAH_TFAw,ZDoggMD
UCrd5zW6kiV52XuvOvIeYrEQ,Kelly Brogan MD
UCQvYJUv8erljnRHgV1XwzVw,joerogan
UC3s3FP43fBfHUH0rmpb5r4Q,Association of American Physicians and Surgeons
UCw5kLIHIJZPjetMjbjLSHQg,North Carolina Department of Health and Human Services
